States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation
Ohio,"76,289.26","34,642",11207,115328.11,61587.82,17191.2,0,1110000,22745,996.54,139124.75,7556.9,"112,479.62",75487.96,166046.53,2787.08,15789.17,519.94,6013.87,70568.05,193050.97,40245,546.41,4295.41,21707.41,30723.67,20496.11,17431,61615,33627,72831,207020,51770,126237,155997,81458,143485,141897,343346,161265,297318,211307,429564,656599,628454,1320000,1750000,1860000,4650000,2970000,5940000,23242401.39,1695762
Oklahoma,"597,602.88","1,950",78678,2198,6990.76,11564,0,4320840,920,1265.7,2314.87,78678,"19,697.68",7309.2,5815.91,0,5603,259.9,1996.87,0,0,125.77,1298.8,0,1395.42,0,17071.19,7950,4500,299.97,14983,5995,11844,3798,11306,13745,13662,8977,30503,45491,2800,15153.6,33675,56533,34547,154497,213685.25,744575,366734,230620,679121,2848747.13,698891
Oregon,"4,760.69","356,996.68",1120000,2340*,5891.05,0,0,1150000,2392,2385.99,49460.42,43720,"21,725.67",16083.42,495.33,286.72,4378.3,0,167.89,0,0,1879.2,0,0,84,2239.93,3070.06*,0,6224,2699.9,432.98,40736,15124,15348,33557,4360.5,10691,510218,14980,15123,69618,15645,43876,162722,499871,26521,203805.71,324374,766229,772740,431927,4132121.96,609507
Pennsylvania,"403,218.43","1,684.67",421875,227842.19,77033.52,68962,0,5910000,108372,11859.51,161067.37,423597.37,"367,648.44",193550.69,203972,56444.13,24550.08,4777.11,10474.15,0,0,20440.04,3834.83,28782.71,44461.49,22826.83,24128.76,12932,18402,46282,22133,214968.88,100448,725770,187827,187964,262407,273745,460968,179138,374466,421467,654059,1030000,342056,1550000,1940000,2130000,3500000,3860000,4270000,24475820.39,1730757
Rhode Island,"337,099.81","323,266.62",2684,14840,2000.44,5998,0,637864,3315,0,14411.05,2383.94,"12,128.16",7030.49,1072,1716.5,1023.06,0,87.95,0,0,899,0,13554.5,639.25,5696.83*,105.91,0,5079,999.92,4059.73,13003,12042.45,3847.69,21468,2129.7,11876,7335,11484,4885,13942,22365,23685,14647,57547,128246,184625.81,299758,213190,471807,297434,1883823.11,143436
South Carolina,"28,002","97,325",0,13240,3818.83,35650.98,28400,967314,1019,1042.4,22243.75,0,"28,752.14",2904.27,31665.07,0,588,161.76,0,0,0,1099,0,1473.44,738.9,3198.3*,2095,0,0,819,0,32768.7,4242.59,42915,10755,1258.85,280,14333,194006,10098,5668,70337,116323,84184,514277,166781,325906.28,1270000,902910,1500000,1380000,6741645.15,780882
South Dakota,"1,097.05","18,476.53",1445,9000,90.99*,32992.99,0,273724,0,337,1594.25,1445,"6,512.90",4670.98,1654.05,861.63,394.69,423.47,0,0,7838,0,0,0,0,149.99,549.95,0,1493.94,0,13025,5495,499.99,1675,9625,140,2041,6587,8107.9,5814.27,0,20850,10056,39653,16945,23682,51711.85,269965,672481,159046,258935,1604260.86,138975
Tennessee,0,"383,154.95",2476,8199,5723.76,11992,0,649173,0,246.03,9518.45,2476,"36,530.35",6972.9,48818,17.5,1843,3259.5,637.15,3772.7,2881,596,5827,649.59,3399.32,949.9*,5081.74,1585,3394,1045,8370,5995,37617,3220,519,15117,22919,13792,312242,28816.79,7047,47520,69652,152660,244192,71190,427679.86,365015,586146,416595,670808,3645662.88,1007624
Texas,"59,239.24",29940000,1400,182007.71,185575.5,342204.15,15235.78,8550000,49834,81528,444841.96,0,1210000,381076.77,1080000,20653.86,19152.55,17644.22,22220.81,3150,34085,20855.99,74130.64,468835.16,94935.83,64767.28*,146700.44,21796,79677,124374,186113,146889,889838,179721,251676,735294.67,466522.66,376379,1020000,734744,1100000,1110000,1700000,2000000,3470000,4500000,5480000,15450000,11900000,16750000,16570000,89412669.56,5433471
Utah,"25,157.64",0,0,33479.94,6402.21,16969,0,168266,3823,515,31772.79,0,"18,576.71",84893.19,16698,1232.05,3780,1260,0,0,0,5001.54,185,20416.86,2094.8,10733.25,431.94,3799.98,2497,966.96,19084,23184,17715,15537,2945,14290,12081,15123,23144.48,15245,56591,129079,74072,353101,119164,121843,306061.53,352179,856381,1460000,818120,5013618.08,677031
Vermont,0,0,0,0,1877.59,0,0,117284,0,0,2228.07,0,"1,464.97",1459.89,3985.8,0,0,0,134.96,0,0,0,191.96,877.8,31.89,0,181.68,0,2733,0,16329.79,5066,0,1336.5,2500,9629.77,750,19813,1120,2222.04,6363,1700,7865,5995,0,15540,34753.16,37089,97754,55694,33018,367828.28,87359
Virginia,"32,487.94",695,1000,10412,88627.14,2000,357.79,6300000,570,2877.3,74564.22,1000,"70,932.88",80899.33,69827,1216.62,41726.87,129.95,1413.41,0,66065,7980,0,96335.23,4024.6,11119.76,33196.98,10483,9034,35989,15423,27380,25671,80114,49324,57840,83715,100716,61382,63196,237116,236701,134124,339465,580041,389625,1660000,1190000,1080000,1400000,1740000,10171218.15,1289367
Washington,"980,705.72",1060000,4160000,55803.68,89545.6,172222.44,0,10920000,91096,10952.66,174211.67,275423,"114,442",46241.23,188272,5759.66,6422.68,4256.86,16582.06,48000,56149.32,46786.07,4069.78,1068,7822.45,6626.57*,7110.97,8819,12535,18257,27899,190475,48845,130886,257248,168453,100011,64066,113648,199909,528542,184437,206351,554476,717055,628368,2400000,2510000,7940000,7340000,6440000,31894946.41,1123736
West Virginia,"468,635",0,0,6379,3824.04,5949,0,701724,0,587,5903.9,0,"20,676.81",21395.6,109305,553.37,508.95,1611.59,1930.88,0,0,0,0,8550.04,8157.57,2772.2,2089.64,3325,30972,3034,10562,33587,25615,17669,12700,8932,85234,8408,16158,25613,39645,78048,107539,179043,142400,31919,316216.63,219881,423623,463423,849997,3317586.18,267976
Wisconsin,"490,259.43","176,667.48",1080000,32350.35,50747.22,50169.99,695,1550000,1063,21397.56,80216.71,364051,"91,380.20",44354.36,163448,4472.62,7683.46,790.46,4217.01,9330,46319.75,28739.55,0,12143.19,17403.55,5974.59,28854.03,5242,15005,6919,15689,75313,92827,13078,22316,78879,50771,56863,153834,121828,75433,214969,239992,337965,281159,412941,1070000,747129,2700000,1660000,2800000,12179991.04,859333
Wyoming,"69,920.12","82,931.95",2464,27951,4762.58,8493,0,364643,0,53.04,1121.33,2464,"2,975.41",5520.32,9108.08,0,1299,0,436.98,0,0,0,0,0,94.71,676.05,34.18,4410,0,1940,283,3920,1893.46,0,2129,1174,1965,7789,9480,3375.1,6434,9497.62,4913,12717,400,8973,123269.68,340987,309126,212216,122069,1212743.96,94313
